Seconds,AccX,AccY,AccZ,Depth,ProcessedAccY,Stroke Rate,Glide Controller,Pitch,Roll,Stroke Detected,
13.75,3.399325,-3.048314,-8.698024,-0.4681468,-0.05027856,33.6933,0.3628851,-34.8025,32.50514,0,
13.813,3.048856,-3.648427,-8.998627,-0.4681468,-0.1586099,33.6933,0.3581723,-34.78442,32.86509,0,
13.875,2.798844,-3.198522,-9.248112,-0.4681468,-0.2371834,33.6933,0.3534595,-34.79213,33.17451,0,
13.938,2.24897,-2.898824,-9.398413,-0.4681468,-0.2839582,33.6933,0.3487467,-34.81008,33.46565,0,
14,2.64929,-3.498219,-9.398413,-0.4681468,-0.2948789,33.6933,0.3440339,-34.85143,33.75538,0,
14.063,2.849451,-3.948124,-9.448005,-0.4681468,-0.2738299,33.6933,0.3393211,-34.91364,34.03315,0,
14.125,2.999004,-3.898534,-9.248112,-0.4681468,-0.2227526,33.6933,0.3346083,-34.98291,34.27771,0,
14.188,2.599439,-3.748326,-9.298466,-0.4681468,-0.1415547,33.6933,0.3298955,-35.05317,34.48366,0,
14.25,2.349428,-3.34873,-9.148165,-0.4681468,-0.04012195,33.6933,0.3251827,-35.13715,34.64454,0,
14.313,3.048856,-2.698308,-8.797971,-0.4681468,0.07166675,33.6933,0.3204699,-35.23678,34.78835,0,
14.375,3.099462,-2.848516,-8.698024,-0.4681468,0.1899131,33.6933,0.3157571,-35.33279,34.94822,0,
14.438,2.949153,-2.848516,-8.148699,-0.4681468,0.3228033,33.6933,0.3110443,-35.42079,35.09967,0,
14.5,3.699187,-2.748616,-7.74815,-0.4681468,0.462416,33.6933,0.3063315,-35.4912,35.22035,0,
14.563,4.699233,-2.198812,-7.598611,-0.4681468,0.6107266,33.6933,0.3016188,-35.51947,35.30602,0,
14.625,4.949245,-1.598699,-7.14847,-0.4681468,0.7396507,33.6933,0.2969059,-35.47351,35.38703,0,
14.688,4.798936,-1.54839,-7.198062,-0.4681468,0.8549242,33.6933,0.2921931,-35.36132,35.48449,0,
14.75,4.599531,-1.748189,-7.348363,-0.4681468,0.9401243,33.6933,0.2874804,-35.19092,35.59169,0,
14.813,4.249062,-2.198812,-7.098116,-0.4681468,0.9948011,33.6933,0.2827676,-34.9793,35.7038,0,
14.875,3.399325,-1.898396,-6.998169,-0.4681468,1.018446,33.6933,0.2780548,-34.75362,35.79139,0,
14.938,3.499027,-1.698598,-7.048524,-0.4681468,1.030513,30.04744,0.273342,-34.55463,35.86041,1,#5 Event Marker 
15,3.548878,-1.998295,-6.848631,-0.4681468,1.02059,22.75571,0.2686292,-34.39613,35.89999,0,
