Seconds_from_start,Seconds_from_subset,,Date,AccX,AccY,AccZ,Depth,ProcessedAccY,Stroke_Rate,Glide_Controller,Stroke_Detected,Stroke_Cycle_Start
47600.688,8.188,,4/10/2018,4.649382,-1.198384,-9.698253,0.007202258,-0.2430564,31.2186,0,,0
47600.75,8.25,,4/10/2018,4.749084,-1.448491,-9.648661,0.007202258,-0.334583,31.2186,0,,0
47600.813,8.313,,4/10/2018,4.949245,-1.398182,-9.248112,0.007202258,-0.4013021,31.2186,0,,0
47600.875,8.375,,4/10/2018,5.649428,-1.998295,-9.398413,0.007202258,-0.4757794,31.2186,0,,0
47600.938,8.438,,4/10/2018,5.899439,-1.798497,-9.148165,0.007202258,-0.5306051,31.2186,0,,0
47601,8.5,,4/10/2018,5.74913,-1.248693,-8.548486,-0.4681468,-0.5422716,31.2186,0,,0
47601.063,8.563,,4/10/2018,6.499165,-1.598699,-7.948043,-0.4681468,-0.5192564,31.2186,0,,0
47601.125,8.625,,4/10/2018,6.348856,-2.148503,-7.998398,-0.4681468,-0.4639581,31.2186,0,,0
47601.188,8.688,,4/10/2018,6.149451,-1.848806,-8.04799,-0.4681468,-0.3525848,31.2186,0,,0
47601.25,8.75,,4/10/2018,5.798981,-1.198384,-7.848096,-0.4681468,-0.1913864,31.2186,0,,0
47601.313,8.813,,4/10/2018,5.598821,-0.9985862,-7.698558,-0.4681468,-0.03258586,31.2186,0,,0
47601.375,8.875,,4/10/2018,5.449268,-0.8483783,-7.498665,-0.4681468,0.1056663,31.2186,0,,0
47601.438,8.938,,4/10/2018,5.598821,-0.6981704,-7.548257,-0.4681468,0.2111778,31.2186,0,,0
47601.5,9,,4/10/2018,5.649428,-0.4983722,-7.74815,-0.4681468,0.2597395,35.70599,0,#5 Event Marker ,1
47601.563,9.063,,4/10/2018,5.848833,-0.4487821,-7.648203,-0.4681468,0.2393103,44.68079,0,,0
47601.625,9.125,,4/10/2018,5.699279,-0.7484792,-7.698558,-0.4681468,0.1898926,44.68079,0,,0
47601.688,9.188,,4/10/2018,5.34881,-0.8986872,-7.548257,-0.4681468,0.1415434,44.68079,0,,0
47601.75,9.25,,4/10/2018,4.949245,-0.6981704,-7.44831,-0.4681468,0.1025315,44.68079,0,,0
47601.813,9.313,,4/10/2018,4.899393,-0.7987881,-7.548257,-0.4681468,0.08714799,44.68079,0,,0
47601.875,9.375,,4/10/2018,4.849542,-0.3481643,-7.298009,-0.4681468,0.0996618,44.68079,0,,0
47601.938,9.438,,4/10/2018,4.798936,-0.2482652,-7.248417,-0.4681468,0.1124596,44.68079,0,,0
47602,9.5,,4/10/2018,5.048947,-0.2985741,-6.998169,0.007202258,0.1159056,44.68079,0,,0
47602.063,9.563,,4/10/2018,5.199256,0.04927583,-7.048524,0.007202258,0.1224365,44.68079,0,,0
47602.125,9.625,,4/10/2018,5.048947,-0.1483662,-7.048524,0.007202258,0.1385697,44.68079,0,,0
47602.188,9.688,,4/10/2018,5.048947,-0.04846713,-7.098116,0.007202258,0.1609306,44.68079,0,,0
47602.25,9.75,,4/10/2018,5.098798,0.04927583,-7.198062,0.007202258,0.1781726,44.68079,0,,0
47602.313,9.813,,4/10/2018,5.249107,0.4495908,-7.298009,0.007202258,0.1632537,44.68079,0,,0
47602.375,9.875,,4/10/2018,5.199256,0.849187,-6.948577,0.007202258,0.08685961,44.68079,0,,0
47602.438,9.938,,4/10/2018,5.199256,1.149603,-6.448081,0.007202258,-0.06627033,44.68079,0,,0
47602.5,10,,4/10/2018,4.849542,0.1994838,-6.648737,0.007202258,-0.2234787,44.68079,0,,0
47602.563,10.063,,4/10/2018,4.349519,-0.3481643,-7.848096,0.007202258,-0.281948,44.68079,0,,0
47602.625,10.125,,4/10/2018,4.499073,-1.4988,-8.248646,0.007202258,-0.193103,44.68079,0,,0
47602.688,10.188,,4/10/2018,3.899348,-0.04846713,-7.898451,0.007202258,0.01196134,44.68079,0,,0
47602.75,10.25,,4/10/2018,3.949199,1.649098,-7.948043,0.007202258,0.3001438,44.68079,0,,0
47602.813,10.313,,4/10/2018,4.499073,2.899633,-8.098344,0.007202258,0.5245227,44.68079,0,,0
47602.875,10.375,,4/10/2018,4.349519,3.049122,-7.998398,0.007202258,0.5598424,42.9181,0,#5 Event Marker ,1
47602.938,10.438,,4/10/2018,3.899348,1.699407,-8.498131,0.007202258,0.408908,39.39274,0,,0
47603,10.5,,4/10/2018,4.249062,1.048985,-8.948272,0.007202258,0.1803767,39.39274,0,,0
47603.063,10.563,,4/10/2018,4.649382,0.6989791,-8.998627,0.007202258,-0.06109469,39.39274,0,,0
47603.125,10.625,,4/10/2018,4.798936,0.7492879,-8.998627,0.007202258,-0.2369476,39.39274,0,,0
47603.188,10.688,,4/10/2018,4.899393,1.349401,-8.797971,0.007202258,-0.2964509,39.39274,0,,0
47603.25,10.75,,4/10/2018,5.34881,1.849615,-8.748379,0.007202258,-0.2988941,39.39274,0,,0
47603.313,10.813,,4/10/2018,5.149405,1.649098,-8.848325,0.007202258,-0.3156056,39.39274,0,,0
47603.375,10.875,,4/10/2018,4.899393,1.299092,-8.698024,0.007202258,-0.3780666,39.39274,0,,0
47603.438,10.938,,4/10/2018,5.449268,0.949086,-8.448539,0.007202258,-0.4699298,39.39274,0,,0
47603.5,11,,4/10/2018,5.598821,1.349401,-8.298238,0.007202258,-0.5789769,39.39274,0,,0
47603.563,11.063,,4/10/2018,5.449268,0.9993949,-8.448539,0.007202258,-0.6471652,39.39274,0,,0
47603.625,11.125,,4/10/2018,5.298959,0.7995968,-8.398184,0.007202258,-0.6604639,39.39274,0,,0
47603.688,11.188,,4/10/2018,5.048947,0.849187,-8.398184,0.007202258,-0.602809,39.39274,0,,0
47603.75,11.25,,4/10/2018,5.149405,1.149603,-8.248646,0.007202258,-0.4921251,39.39274,0,,0
