Seconds,AccX,AccY,AccZ,Depth,ProcessedAccY,Stroke Rate,Glide Controller,Stroke Detected,Comment
13.188,3.649336,-2.298711,-8.698024,0.007202258,1.262234,20.62171,0.4053002,1,#5 Event Marker 
13.25,4.349519,-1.748189,-8.348592,0.007202258,1.228279,33.6933,0.4005874,0,
13.313,4.899393,-1.4988,-7.498665,0.007202258,1.166363,33.6933,0.3958746,0,
13.375,5.499119,-0.8986872,-6.898222,0.007202258,1.060513,33.6933,0.3911618,0,
13.438,5.899439,-1.248693,-7.44831,0.007202258,0.9067643,33.6933,0.386449,0,
13.5,5.298959,-1.648289,-8.04799,-0.4681468,0.7090623,33.6933,0.3817362,0,
13.563,4.499073,-2.39861,-8.748379,-0.4681468,0.5013843,33.6933,0.3770234,0,
13.625,3.99905,-3.198522,-8.89868,-0.4681468,0.2876567,33.6933,0.3723106,0,
13.688,3.499027,-3.098623,-8.598077,-0.4681468,0.09980439,33.6933,0.3675978,0,
13.75,3.399325,-3.048314,-8.698024,-0.4681468,-0.05027856,33.6933,0.3628851,0,
13.813,3.048856,-3.648427,-8.998627,-0.4681468,-0.1586099,33.6933,0.3581723,0,
13.875,2.798844,-3.198522,-9.248112,-0.4681468,-0.2371834,33.6933,0.3534595,0,
13.938,2.24897,-2.898824,-9.398413,-0.4681468,-0.2839582,33.6933,0.3487467,0,
14,2.64929,-3.498219,-9.398413,-0.4681468,-0.2948789,33.6933,0.3440339,0,
14.063,2.849451,-3.948124,-9.448005,-0.4681468,-0.2738299,33.6933,0.3393211,0,
14.125,2.999004,-3.898534,-9.248112,-0.4681468,-0.2227526,33.6933,0.3346083,0,
14.188,2.599439,-3.748326,-9.298466,-0.4681468,-0.1415547,33.6933,0.3298955,0,
14.25,2.349428,-3.34873,-9.148165,-0.4681468,-0.04012195,33.6933,0.3251827,0,
14.313,3.048856,-2.698308,-8.797971,-0.4681468,0.07166675,33.6933,0.3204699,0,
14.375,3.099462,-2.848516,-8.698024,-0.4681468,0.1899131,33.6933,0.3157571,0,
14.438,2.949153,-2.848516,-8.148699,-0.4681468,0.3228033,33.6933,0.3110443,0,
14.5,3.699187,-2.748616,-7.74815,-0.4681468,0.462416,33.6933,0.3063315,0,
14.563,4.699233,-2.198812,-7.598611,-0.4681468,0.6107266,33.6933,0.3016188,0,
14.625,4.949245,-1.598699,-7.14847,-0.4681468,0.7396507,33.6933,0.2969059,0,
14.688,4.798936,-1.54839,-7.198062,-0.4681468,0.8549242,33.6933,0.2921931,0,
14.75,4.599531,-1.748189,-7.348363,-0.4681468,0.9401243,33.6933,0.2874804,0,
14.813,4.249062,-2.198812,-7.098116,-0.4681468,0.9948011,33.6933,0.2827676,0,
14.875,3.399325,-1.898396,-6.998169,-0.4681468,1.018446,33.6933,0.2780548,0,
14.938,3.499027,-1.698598,-7.048524,-0.4681468,1.030513,30.04744,0.273342,1,#5 Event Marker 
15,3.548878,-1.998295,-6.848631,-0.4681468,1.02059,22.75571,0.2686292,0,
15.063,3.449176,-2.098195,-7.198062,-0.4681468,0.9802119,22.75571,0.2639164,0,
15.125,3.499027,-2.498509,-7.648203,-0.4681468,0.9169371,22.75571,0.2592719,0,
15.188,3.548878,-2.048604,-7.898451,-0.4681468,0.8183881,22.75571,0.2546957,0,
15.25,3.599485,-1.848806,-7.698558,-0.4681468,0.6721921,22.75571,0.2501878,0,
15.313,3.249016,-1.898396,-7.948043,-0.4681468,0.4700148,22.75571,0.2457482,0,
15.375,3.99905,-2.498509,-8.398184,-0.4681468,0.243693,22.75571,0.2413769,0,
15.438,2.899302,-2.898824,-9.048219,-0.4681468,-0.01084843,22.75571,0.237074,0,
15.5,2.748993,-3.198522,-9.048219,0.007202258,-0.2635536,22.75571,0.2328393,0,
15.563,3.048856,-3.598118,-9.048219,0.007202258,-0.490196,22.75571,0.2286729,0,
15.625,2.999004,-3.698736,-9.248112,0.007202258,-0.6605408,22.75571,0.2245748,0,
15.688,2.64929,-3.598118,-9.49836,0.007202258,-0.7903062,22.75571,0.220545,0,
15.75,2.199119,-3.598118,-9.698253,0.007202258,-0.8772048,22.75571,0.2165836,0,
15.813,2.399279,-4.148641,-9.698253,0.007202258,-0.9230123,22.75571,0.2126904,0,
15.875,2.798844,-4.498647,-9.448005,0.007202258,-0.9374886,22.75571,0.2088655,0,
15.938,3.048856,-4.098332,-9.448005,0.007202258,-0.924384,22.75571,0.2051089,0,
16,3.099462,-3.548528,-9.598306,0.007202258,-0.8714643,22.75571,0.2014207,0,
16.063,3.149313,-3.148213,-9.398413,0.007202258,-0.7744143,22.75571,0.1978007,0,
16.125,2.798844,-3.198522,-9.148165,0.007202258,-0.6568618,22.75571,0.194249,0,
16.188,3.548878,-2.848516,-8.698024,0.007202258,-0.5225511,22.75571,0.1907657,0,
16.25,3.548878,-2.548818,-8.248646,0.007202258,-0.3932147,22.75571,0.1873506,0,
16.313,3.949199,-2.248402,-8.498131,0.007202258,-0.288573,22.75571,0.1840038,0,
16.375,4.548924,-2.348302,-8.648432,0.007202258,-0.2045394,22.75571,0.1807254,0,
16.438,4.798936,-2.098195,-8.698024,0.007202258,-0.129002,22.75571,0.1775152,0,
16.5,4.899393,-1.4988,-8.598077,-0.4681468,-0.05777216,22.75571,0.1744416,0,
16.563,4.899393,-1.448491,-8.348592,-0.4681468,0.0173377,22.75571,0.1715047,0,
16.625,4.599531,-1.448491,-8.648432,-0.4681468,0.1104454,22.75571,0.1687043,0,
16.688,4.249062,-1.648289,-8.598077,-0.4681468,0.1938537,22.75571,0.1660406,0,
16.75,3.649336,-2.298711,-8.797971,-0.4681468,0.261742,22.75571,0.1635134,0,
