ECG,AcX,AcY,AcZ,Depth
1197,5.06,0.46,5.98,121.4
1195,5.06,0.3,5.98,121.4
1175,5.06,0.3,5.98,121.4
1217,5.06,0.3,5.98,121.4
1223,5.06,0.3,5.98,121.6
1191,5.06,0.3,5.98,121.6
1203,5.06,0.76,5.98,121.6
1179,5.06,0.76,5.82,121.6
1172,5.06,0.76,5.82,121.6
1214,5.06,0.76,5.82,121.6
1230,5.22,0.76,5.82,121.6
1246,5.22,1.22,5.82,121.6
1289,5.22,1.22,6.28,121.6
1245,5.22,1.22,6.28,121.6
1289,5.22,1.22,6.28,121.6
1249,5.22,1.22,6.28,121.6
1277,5.22,0.76,6.28,121.6
1260,5.22,0.76,6.14,121.6
1293,5.22,0.76,6.14,121.6
1292,5.22,0.76,6.14,121.8
1322,4.76,0.76,6.14,121.8
1318,4.76,0.76,6.14,121.8
1240,4.76,0.76,6.28,121.8
1261,4.76,0.76,6.28,121.8
1196,4.76,0.76,6.28,121.8
1147,4.9,0.76,6.28,121.8
1120,4.9,0.62,6.28,121.8
1098,4.9,0.62,6.28,121.8
1072,4.9,0.62,6.28,121.8
1182,4.9,0.62,6.28,122
1172,5.22,0.62,6.28,122
1144,5.22,1.08,6.28,122
1185,5.22,1.08,6.14,122
1150,5.22,1.08,6.14,122
1081,5.22,1.08,6.14,121.8
1144,5.22,1.08,6.14,121.8
1127,5.22,1.22,6.14,121.8
1045,5.22,1.22,6.44,121.8
1101,5.22,1.22,6.44,121.8
1066,5.22,1.22,6.44,122
1038,5.22,1.22,6.44,122
1133,5.22,1.22,6.44,122
1159,5.22,1.22,5.82,122
1088,5.22,1.22,5.82,122
1127,5.22,1.22,5.82,122
1122,5.22,1.22,5.82,122
1139,5.22,1.08,5.82,122
1180,5.22,1.08,6.44,122
1198,5.22,1.08,6.44,122
1195,5.22,1.08,6.44,122
1236,5.06,1.08,6.44,122
1198,5.06,0.92,6.44,122
1183,5.06,0.92,5.98,122
1215,5.06,0.92,5.98,122
1193,5.06,0.92,5.98,122.2
1123,5.22,0.92,5.98,122.2
1110,5.22,0.92,5.98,122.2
1105,5.22,0.92,6.14,122.2
1108,5.22,0.92,6.14,122.2
1146,5.22,0.92,6.14,122.2
1145,5.22,0.92,6.14,122.2
1107,5.22,0.92,6.14,122.2
1111,5.22,0.92,6.14,122.2
1095,5.22,0.92,6.14,122.2
1120,5.22,0.92,6.14,122
1165,5.06,0.92,6.14,122
1138,5.06,0.76,6.14,122
1164,5.06,0.76,6.28,122
1187,5.06,0.76,6.28,122
1173,5.06,0.76,6.28,122.2
1169,5.22,0.76,6.28,122.2
1143,5.22,0.92,6.28,122.2
1162,5.22,0.92,5.82,122.2
1183,5.22,0.92,5.82,122.2
1229,5.22,0.92,5.82,122.2
1222,5.22,0.92,5.82,122.2
1210,5.22,0.62,5.82,122.2
1247,5.22,0.62,5.82,122.2
1129,5.22,0.62,5.82,122.2
1154,5.22,0.62,5.82,122.4
1125,5.06,0.62,5.82,122.4
1121,5.06,0.62,5.82,122.4
1183,5.06,0.62,6.28,122.4
1158,5.06,0.62,6.28,122.4
1131,5.06,0.62,6.28,122.4
1213,5.06,0.62,6.28,122.4
1167,5.06,0.76,6.28,122.4
1157,5.06,0.76,6.6,122.4
1186,5.06,0.76,6.6,122.4
1145,5.06,0.76,6.6,122.4
1120,5.22,0.76,6.6,122.4
1173,5.22,0.76,6.6,122.4
1073,5.22,0.76,5.98,122.4
1116,5.22,0.76,5.98,122.4
1117,5.22,0.76,5.98,122.4
1131,5.36,0.76,5.98,122.4
1063,5.36,0.76,5.98,122.4
1047,5.36,0.76,6.14,122.4
1057,5.36,0.76,6.14,122.4
1034,5.36,0.76,6.14,122.4
1033,5.22,0.76,6.14,122.4
1030,5.22,0.46,6.14,122.4
1009,5.22,0.46,5.98,122.4
1037,5.22,0.46,5.98,122.4
1054,5.22,0.46,5.98,122.4
1063,5.06,0.46,5.98,122.4
1109,5.06,0.46,5.98,122.4
1089,5.06,0.46,5.68,122.4
1134,5.06,0.46,5.68,122.4
1172,5.06,0.46,5.68,122.8
1107,5.06,0.46,5.68,122.8
1089,5.06,1.08,5.68,122.8
1068,5.06,1.08,6.28,122.8
1056,5.06,1.08,6.28,122.8
1032,5.06,1.08,6.28,122.8
1033,5.06,1.08,6.28,122.8
1012,5.06,0.62,6.28,122.8
1005,5.06,0.62,6.14,122.8
963,5.06,0.62,6.14,122.8
965,5.06,0.62,6.14,122.8
1033,5.06,0.62,6.14,122.8
1030,5.06,0.46,6.14,122.8
982,5.06,0.46,6.14,122.8
1060,5.06,0.46,6.14,122.8
1068,5.06,0.46,6.14,123
1030,4.9,0.46,6.14,123
1047,4.9,0.3,6.14,123
1095,4.9,0.3,5.98,123
1062,4.9,0.3,5.98,123
1094,4.9,0.3,5.98,123
1069,5.22,0.3,5.98,123
1027,5.22,0.46,5.98,123
1067,5.22,0.46,5.82,123
1084,5.22,0.46,5.82,123
1103,5.22,0.46,5.82,122.8
1096,4.9,0.46,5.82,122.8
1129,4.9,0.62,5.82,122.8
1144,4.9,0.62,6.28,122.8
1073,4.9,0.62,6.28,122.8
1071,4.9,0.62,6.28,123
1089,5.22,0.62,6.28,123
1088,5.22,0.76,6.28,123
1046,5.22,0.76,6.28,123
1101,5.22,0.76,6.28,123
1126,5.22,0.76,6.28,123
1164,5.22,0.76,6.28,123
1042,5.22,0.76,6.28,123
1077,5.22,0.76,5.82,123
1117,5.22,0.76,5.82,123
1068,5.22,0.76,5.82,123
1122,4.76,0.76,5.82,123
1110,4.76,0.16,5.82,123
1208,4.76,0.16,5.82,123
1188,4.76,0.16,5.82,123
1163,4.76,0.16,5.82,123.2
1164,5.22,0.16,5.82,123.2
1163,5.22,0.62,5.82,123.2
1230,5.22,0.62,6.14,123.2
1197,5.22,0.62,6.14,123.2
1115,5.22,0.62,6.14,123.2
1158,5.06,0.62,6.14,123.2
1175,5.06,0.76,6.14,123.2
1162,5.06,0.76,6.14,123.2
1220,5.06,0.76,6.14,123.2
1193,5.06,0.76,6.14,123.2
1180,5.22,0.76,6.14,123.2
1170,5.22,1.38,6.14,123.2
1153,5.22,1.38,6.14,123.2
1210,5.22,1.38,6.14,123.2
1194,5.22,1.38,6.14,123.4
1162,5.06,1.38,6.14,123.4
1286,5.06,0.76,6.14,123.4
1214,5.06,0.76,6.14,123.4
1210,5.06,0.76,6.14,123.4
1226,5.06,0.76,6.14,123.4
1211,4.76,0.76,6.14,123.4
1233,4.76,0.3,6.14,123.4
1247,4.76,0.3,5.98,123.4
1217,4.76,0.3,5.98,123.4
1214,4.76,0.3,5.98,123.4
1272,5.52,0.3,5.98,123.4
1196,5.52,1.22,5.98,123.4
1216,5.52,1.22,6.74,123.4
1159,5.52,1.22,6.74,123.4
1178,5.52,1.22,6.74,123.4
1133,5.06,1.22,6.74,123.4
1028,5.06,1.22,6.74,123.4
1155,5.06,1.22,5.82,123.4
1135,5.06,1.22,5.82,123.4
1038,5.06,1.22,5.82,123.6
1117,5.22,1.22,5.82,123.6
1205,5.22,0.76,5.82,123.6
